hgnc_symbol,gene_biotype,ensembl_gene_id,GO_category,kegg,Cluster,Core,DEG
CYP51A1,protein_coding,ENSG00000001630,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARF5,protein_coding,ENSG00000004059,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
RBM6,protein_coding,ENSG00000004534,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
HCCS,protein_coding,ENSG00000004961,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CIAPIN1,protein_coding,ENSG00000005194,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
TAC1,protein_coding,ENSG00000006128,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
FARP2,protein_coding,ENSG00000006607,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
GGCT,protein_coding,ENSG00000006625,Apoptosis,No_kegg,AD_cluster1,non core,Down-regulated
PAFAH1B1,protein_coding,ENSG00000007168,No enriched GO,No_kegg,AD_cluster1,core,non DEG
UQCRC1,protein_coding,ENSG00000010256,Mitochondrial energy production,kegg,AD_cluster1,non core,non DEG
NME1-NME2,protein_coding,ENSG00000011052,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
UTP18,protein_coding,ENSG00000011260,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RNF216,protein_coding,ENSG00000011275,intracellular trafficking,No_kegg,AD_cluster1,non core,non DEG
RWDD2A,protein_coding,ENSG00000013392,No enriched GO,No_kegg,AD_cluster1,core,non DEG
RNF14,protein_coding,ENSG00000013561,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MDH1,protein_coding,ENSG00000014641,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
SLC30A9,protein_coding,ENSG00000014824,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MATR3,protein_coding,ENSG00000015479,No enriched GO,No_kegg,AD_cluster1,core,non DEG
STEEP1,protein_coding,ENSG00000018610,"intracellular trafficking,Synapse signaling",No_kegg,AD_cluster1,non core,non DEG
ZNF582,protein_coding,ENSG00000018869,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SYT13,protein_coding,ENSG00000019505,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
GABRA1,protein_coding,ENSG00000022355,No enriched GO,No_kegg,AD_cluster1,core,non DEG
NDUFS1,protein_coding,ENSG00000023228,"Apoptosis,Mitochondrial energy production",kegg,AD_cluster1,non core,non DEG
GLRX2,protein_coding,ENSG00000023572,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
STRAP,protein_coding,ENSG00000023734,No enriched GO,No_kegg,AD_cluster1,core,non DEG
SARS1,protein_coding,ENSG00000031698,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TMSB10,protein_coding,ENSG00000034510,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
GABARAPL2,protein_coding,ENSG00000034713,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RPL26L1,protein_coding,ENSG00000037241,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MAT2B,protein_coding,ENSG00000038274,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PSMA4,protein_coding,ENSG00000041357,No enriched GO,kegg,AD_cluster1,non core,non DEG
XK,protein_coding,ENSG00000047597,No enriched GO,No_kegg,AD_cluster1,core,non DEG
SNX29,protein_coding,ENSG00000048471,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MRPS10,protein_coding,ENSG00000048544,gene expression,No_kegg,AD_cluster1,non core,non DEG
MAPK9,protein_coding,ENSG00000050748,No enriched GO,kegg,AD_cluster1,core,non DEG
MSMO1,protein_coding,ENSG00000052802,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TRAPPC3,protein_coding,ENSG00000054116,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
OPN3,protein_coding,ENSG00000054277,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
TBC1D22A,protein_coding,ENSG00000054611,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TRAF3IP2,protein_coding,ENSG00000056972,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PITHD1,protein_coding,ENSG00000057757,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CTDP1,protein_coding,ENSG00000060069,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MRPS35,protein_coding,ENSG00000061794,gene expression,No_kegg,AD_cluster1,core,non DEG
GUCY1B1,protein_coding,ENSG00000061918,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
SFSWAP,protein_coding,ENSG00000061936,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
BICRA,protein_coding,ENSG00000063169,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
DDX20,protein_coding,ENSG00000064703,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ANKS1A,protein_coding,ENSG00000064999,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
OAT,protein_coding,ENSG00000065154,No enriched GO,No_kegg,AD_cluster1,core,non DEG
KARS1,protein_coding,ENSG00000065427,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
ZC3H15,protein_coding,ENSG00000065548,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ZBTB11,protein_coding,ENSG00000066422,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
THUMPD1,protein_coding,ENSG00000066654,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
IDI1,protein_coding,ENSG00000067064,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
VPS35,protein_coding,ENSG00000069329,"Apoptosis,intracellular trafficking,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
DNAJA2,protein_coding,ENSG00000069345,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
FUNDC1,protein_coding,ENSG00000069509,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PFN2,protein_coding,ENSG00000070087,Synapse signaling,No_kegg,AD_cluster1,core,Down-regulated
SMG6,protein_coding,ENSG00000070366,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ZXDC,protein_coding,ENSG00000070476,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ASNS,protein_coding,ENSG00000070669,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
AP3M2,protein_coding,ENSG00000070718,Synapse signaling,No_kegg,AD_cluster1,core,Down-regulated
CFAP20,protein_coding,ENSG00000070761,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CDC42,protein_coding,ENSG00000070831,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RDH11,protein_coding,ENSG00000072042,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ZFYVE26,protein_coding,ENSG00000072121,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
EPN2,protein_coding,ENSG00000072134,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CHFR,protein_coding,ENSG00000072609,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NFATC3,protein_coding,ENSG00000072736,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TRNT1,protein_coding,ENSG00000072756,gene expression,No_kegg,AD_cluster1,non core,non DEG
DPP8,protein_coding,ENSG00000074603,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ZNF532,protein_coding,ENSG00000074657,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ACTR6,protein_coding,ENSG00000075089,No enriched GO,No_kegg,AD_cluster1,core,non DEG
TIPIN,protein_coding,ENSG00000075131,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SLC25A3,protein_coding,ENSG00000075415,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
UBE2T,protein_coding,ENSG00000077152,intracellular trafficking,No_kegg,AD_cluster1,core,non DEG
SLC25A43,protein_coding,ENSG00000077713,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
UBE2A,protein_coding,ENSG00000077721,intracellular trafficking,No_kegg,AD_cluster1,non core,non DEG
VDAC3,protein_coding,ENSG00000078668,No enriched GO,kegg,AD_cluster1,core,non DEG
PCNP,protein_coding,ENSG00000081154,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
C5orf22,protein_coding,ENSG00000082213,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ZNF586,protein_coding,ENSG00000083828,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
FAM234B,protein_coding,ENSG00000084444,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
AK6,protein_coding,ENSG00000085231,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
WDR47,protein_coding,ENSG00000085433,No enriched GO,No_kegg,AD_cluster1,core,non DEG
RRN3,protein_coding,ENSG00000085721,Apoptosis,No_kegg,AD_cluster1,non core,non DEG
DDHD2,protein_coding,ENSG00000085788,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CHMP5,protein_coding,ENSG00000086065,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
EPDR1,protein_coding,ENSG00000086289,No enriched GO,No_kegg,AD_cluster1,core,non DEG
KLHL42,protein_coding,ENSG00000087448,No enriched GO,No_kegg,AD_cluster1,core,non DEG
PHACTR3,protein_coding,ENSG00000087495,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ATRN,protein_coding,ENSG00000088812,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TRMT6,protein_coding,ENSG00000089195,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PEBP1,protein_coding,ENSG00000089220,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
IGBP1,protein_coding,ENSG00000089289,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
DDX24,protein_coding,ENSG00000089737,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NECAP1,protein_coding,ENSG00000089818,Synapse signaling,No_kegg,AD_cluster1,core,Down-regulated
NDUFB2,protein_coding,ENSG00000090266,Mitochondrial energy production,kegg,AD_cluster1,non core,non DEG
DLD,protein_coding,ENSG00000091140,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
TXNL1,protein_coding,ENSG00000091164,No enriched GO,No_kegg,AD_cluster1,core,non DEG
FH,protein_coding,ENSG00000091483,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
ORC6,protein_coding,ENSG00000091651,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CD200,protein_coding,ENSG00000091972,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
TMEM14A,protein_coding,ENSG00000096092,"Apoptosis,Others",No_kegg,AD_cluster1,core,non DEG
RAB18,protein_coding,ENSG00000099246,"intracellular trafficking,Synapse signaling",No_kegg,AD_cluster1,non core,non DEG
RANBP1,protein_coding,ENSG00000099901,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TOMM22,protein_coding,ENSG00000100216,Others,No_kegg,AD_cluster1,non core,non DEG
PSMC6,protein_coding,ENSG00000100519,No enriched GO,kegg,AD_cluster1,non core,non DEG
CNIH1,protein_coding,ENSG00000100528,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ATP6V1D,protein_coding,ENSG00000100554,"intracellular trafficking,Mitochondrial energy production,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
TMED8,protein_coding,ENSG00000100580,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PSMA6,protein_coding,ENSG00000100902,No enriched GO,kegg,AD_cluster1,non core,non DEG
GMPR2,protein_coding,ENSG00000100938,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
NDRG3,protein_coding,ENSG00000101079,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PFDN4,protein_coding,ENSG00000101132,No enriched GO,No_kegg,AD_cluster1,core,non DEG
CSTF1,protein_coding,ENSG00000101138,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RAE1,protein_coding,ENSG00000101146,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CSNK2A1,protein_coding,ENSG00000101266,No enriched GO,kegg,AD_cluster1,non core,non DEG
CDS2,protein_coding,ENSG00000101290,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
IDH3B,protein_coding,ENSG00000101365,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
