Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000055070	ENSG00000120942	g	g.AD_TCX	0.55
ENSG00000055070	ENSG00000075945	a	a	-0.55
ENSG00000120942	ENSG00000075945	g	g.AD_TCX	-0.54
ENSG00000055070	ENSG00000075391	g	g.AD_TCX	-0.53
ENSG00000120942	ENSG00000075391	g	g.AD_TCX	-0.52
ENSG00000055070	ENSG00000116141	g	g.AD_TCX	-0.54
ENSG00000120942	ENSG00000116141	g	g.AD_TCX	-0.52
ENSG00000075945	ENSG00000116141	g	g.AD_TCX	0.53
ENSG00000055070	ENSG00000055813	a	a	-0.55
ENSG00000120942	ENSG00000055813	g	g.AD_TCX	-0.53
ENSG00000075945	ENSG00000055813	g	g.AD_TCX	0.54
ENSG00000055070	ENSG00000115419	g	g.AD_TCX	-0.54
ENSG00000120942	ENSG00000115419	g	g.AD_TCX	-0.53
ENSG00000075945	ENSG00000115419	a	a	0.56
ENSG00000055070	ENSG00000115415	g	g.AD_TCX	-0.52
ENSG00000120942	ENSG00000115415	g	g.AD_TCX	-0.52
ENSG00000075945	ENSG00000115415	a	a	0.56
ENSG00000115419	ENSG00000115415	a	a	0.55
ENSG00000055070	ENSG00000114948	g	g.AD_TCX	-0.55
ENSG00000120942	ENSG00000114948	g	g.AD_TCX	-0.53
ENSG00000075945	ENSG00000114948	g	g.AD_TCX	0.56
ENSG00000115419	ENSG00000114948	g	g.AD_TCX	0.55
ENSG00000115415	ENSG00000114948	g	g.AD_TCX	0.54
ENSG00000055070	ENSG00000082701	a	a	-0.55
ENSG00000120942	ENSG00000082701	g	g.AD_TCX	-0.54
ENSG00000075945	ENSG00000082701	a	a	0.55
ENSG00000075391	ENSG00000082701	g	g.AD_TCX	0.53
ENSG00000116141	ENSG00000082701	g	g.AD_TCX	0.52
ENSG00000055813	ENSG00000082701	g	g.AD_TCX	0.54
ENSG00000114948	ENSG00000082701	g	g.AD_TCX	0.53
ENSG00000055070	ENSG00000109339	a	a	-0.54
ENSG00000120942	ENSG00000109339	g	g.AD_TCX	-0.52
