ensembl_gene_id,hgnc_symbol,gene_biotype,Degree_centrality
ENSG00000183308,,lncRNA,387
ENSG00000225792,SNX10-AS1,lncRNA,946
ENSG00000227028,SLC8A1-AS1,lncRNA,666
ENSG00000227617,CERS6-AS1,lncRNA,233
ENSG00000229956,ZRANB2-DT,lncRNA,1308
ENSG00000230612,,lncRNA,340
ENSG00000231295,,lncRNA,246
ENSG00000231760,,lncRNA,664
ENSG00000232767,HSPA12A-AS1,lncRNA,277
ENSG00000232959,KIFAP3-AS1,lncRNA,344
ENSG00000233912,,lncRNA,714
ENSG00000235978,,lncRNA,251
ENSG00000236051,MYCBP2-AS1,lncRNA,830
ENSG00000237633,,lncRNA,520
ENSG00000248733,,lncRNA,511
ENSG00000249568,,lncRNA,241
ENSG00000250910,MAP9-AS1,lncRNA,347
ENSG00000254317,,lncRNA,794
ENSG00000254433,,lncRNA,1154
ENSG00000257434,,lncRNA,281
ENSG00000257647,,lncRNA,247
ENSG00000258048,PPP1R12A-AS2,lncRNA,483
ENSG00000258302,,lncRNA,828
ENSG00000258903,,lncRNA,595
ENSG00000259623,,lncRNA,467
ENSG00000259678,,lncRNA,1020
ENSG00000259712,,lncRNA,248
ENSG00000260281,ITFG1-AS1,lncRNA,944
ENSG00000260391,,lncRNA,640
ENSG00000265579,,lncRNA,235
ENSG00000266969,CEP192-DT,lncRNA,333
ENSG00000267112,,lncRNA,276
ENSG00000267225,WDR7-OT1,lncRNA,271
ENSG00000270751,FBXW7-AS1,lncRNA,343
ENSG00000272770,,lncRNA,854
ENSG00000273275,,lncRNA,277
ENSG00000274629,,lncRNA,332
ENSG00000275854,,lncRNA,368
ENSG00000276012,,lncRNA,487
ENSG00000277954,,lncRNA,189
ENSG00000284697,,lncRNA,677
ENSG00000285830,,lncRNA,828
ENSG00000285889,,lncRNA,819
ENSG00000287022,,lncRNA,634
ENSG00000287451,,lncRNA,786
ENSG00000287456,,lncRNA,391
ENSG00000007168,PAFAH1B1,protein_coding,596
ENSG00000008277,ADAM22,protein_coding,1088
ENSG00000009844,VTA1,protein_coding,305
ENSG00000013392,RWDD2A,protein_coding,517
ENSG00000014641,MDH1,protein_coding,635
ENSG00000015479,MATR3,protein_coding,441
ENSG00000018189,RUFY3,protein_coding,350
ENSG00000022355,GABRA1,protein_coding,496
ENSG00000023516,AKAP11,protein_coding,420
ENSG00000023572,GLRX2,protein_coding,318
ENSG00000023734,STRAP,protein_coding,445
ENSG00000047597,XK,protein_coding,280
ENSG00000050748,MAPK9,protein_coding,312
ENSG00000061676,NCKAP1,protein_coding,349
ENSG00000061794,MRPS35,protein_coding,558
ENSG00000061918,GUCY1B1,protein_coding,1031
ENSG00000065154,OAT,protein_coding,504
ENSG00000065548,ZC3H15,protein_coding,347
ENSG00000067992,PDK3,protein_coding,279
ENSG00000069329,VPS35,protein_coding,516
ENSG00000070087,PFN2,protein_coding,633
ENSG00000070718,AP3M2,protein_coding,475
ENSG00000070961,ATP2B1,protein_coding,1140
ENSG00000073969,NSF,protein_coding,284
ENSG00000075089,ACTR6,protein_coding,289
ENSG00000075303,SLC25A40,protein_coding,590
ENSG00000075790,BCAP29,protein_coding,870
ENSG00000075945,KIFAP3,protein_coding,1643
ENSG00000077152,UBE2T,protein_coding,369
ENSG00000077254,USP33,protein_coding,646
ENSG00000078668,VDAC3,protein_coding,874
ENSG00000079785,DDX1,protein_coding,909
ENSG00000083720,OXCT1,protein_coding,1045
ENSG00000085231,AK6,protein_coding,241
ENSG00000085365,SCAMP1,protein_coding,1060
ENSG00000085415,SEH1L,protein_coding,505
ENSG00000085433,WDR47,protein_coding,801
ENSG00000086289,EPDR1,protein_coding,270
ENSG00000087448,KLHL42,protein_coding,510
ENSG00000087470,DNM1L,protein_coding,932
ENSG00000089818,NECAP1,protein_coding,718
ENSG00000091164,TXNL1,protein_coding,776
ENSG00000096092,TMEM14A,protein_coding,485
ENSG00000097007,ABL1,protein_coding,436
ENSG00000100478,AP4S1,protein_coding,315
ENSG00000100554,ATP6V1D,protein_coding,625
ENSG00000100614,PPM1A,protein_coding,283
ENSG00000100744,GSKIP,protein_coding,358
ENSG00000100934,SEC23A,protein_coding,654
ENSG00000101132,PFDN4,protein_coding,266
ENSG00000101557,USP14,protein_coding,651
ENSG00000101654,RNMT,protein_coding,536
ENSG00000101911,PRPS2,protein_coding,257
ENSG00000102471,NDFIP2,protein_coding,925
ENSG00000103160,HSDL1,protein_coding,308
ENSG00000103769,RAB11A,protein_coding,982
ENSG00000104093,DMXL2,protein_coding,1231
ENSG00000104164,BLOC1S6,protein_coding,516
ENSG00000104643,MTMR9,protein_coding,1213
ENSG00000105819,PMPCB,protein_coding,286
ENSG00000106299,WASL,protein_coding,1088
ENSG00000106853,PTGR1,protein_coding,417
ENSG00000107758,PPP3CB,protein_coding,954
ENSG00000107882,SUFU,protein_coding,226
ENSG00000108061,SHOC2,protein_coding,850
ENSG00000108395,TRIM37,protein_coding,603
ENSG00000108839,ALOX12,protein_coding,474
ENSG00000109133,TMEM33,protein_coding,246
ENSG00000109158,GABRA4,protein_coding,674
ENSG00000109180,OCIAD1,protein_coding,456
ENSG00000109270,LAMTOR3,protein_coding,329
ENSG00000109670,FBXW7,protein_coding,1036
ENSG00000109738,GLRB,protein_coding,691
ENSG00000110429,FBXO3,protein_coding,304
ENSG00000111530,CAND1,protein_coding,270
ENSG00000111726,CMAS,protein_coding,715
ENSG00000111817,DSE,protein_coding,255
ENSG00000112146,FBXO9,protein_coding,267
ENSG00000112697,TMEM30A,protein_coding,382
ENSG00000112996,MRPS30,protein_coding,560
ENSG00000113387,SUB1,protein_coding,735
ENSG00000113558,SKP1,protein_coding,415
ENSG00000113575,PPP2CA,protein_coding,533
ENSG00000113595,TRIM23,protein_coding,481
ENSG00000113638,TTC33,protein_coding,505
ENSG00000113966,ARL6,protein_coding,487
ENSG00000114405,CEP15,protein_coding,1118
ENSG00000114573,ATP6V1A,protein_coding,907
ENSG00000114686,MRPL3,protein_coding,327
ENSG00000114784,EIF1B,protein_coding,568
ENSG00000115415,STAT1,protein_coding,993
ENSG00000115419,GLS,protein_coding,1140
ENSG00000115520,COQ10B,protein_coding,302
ENSG00000116030,SUMO1,protein_coding,460
ENSG00000116750,UCHL5,protein_coding,949
ENSG00000116903,EXOC8,protein_coding,273
ENSG00000117155,SSX2IP,protein_coding,357
ENSG00000118276,B4GALT6,protein_coding,289
ENSG00000118402,ELOVL4,protein_coding,481
ENSG00000119318,RAD23B,protein_coding,523
ENSG00000119396,RAB14,protein_coding,264
ENSG00000119801,YPEL5,protein_coding,936
ENSG00000120251,GRIA2,protein_coding,710
ENSG00000120265,PCMT1,protein_coding,797
ENSG00000122126,OCRL,protein_coding,554
ENSG00000122873,CISD1,protein_coding,1223
ENSG00000123119,NECAB1,protein_coding,1073
ENSG00000123562,MORF4L2,protein_coding,685
ENSG00000123570,RAB9B,protein_coding,786
ENSG00000123983,ACSL3,protein_coding,237
ENSG00000125249,RAP2A,protein_coding,757
ENSG00000125814,NAPB,protein_coding,510
ENSG00000125863,MKKS,protein_coding,401
ENSG00000125868,DSTN,protein_coding,489
ENSG00000128590,DNAJB9,protein_coding,213
ENSG00000128609,NDUFA5,protein_coding,520
ENSG00000129128,SPCS3,protein_coding,292
ENSG00000131263,RLIM,protein_coding,599
ENSG00000131437,KIF3A,protein_coding,502
ENSG00000131966,ACTR10,protein_coding,248
ENSG00000133703,KRAS,protein_coding,881
ENSG00000133731,IMPA1,protein_coding,275
ENSG00000134057,CCNB1,protein_coding,228
ENSG00000134121,CHL1,protein_coding,861
ENSG00000134265,NAPG,protein_coding,901
ENSG00000134709,HOOK1,protein_coding,824
ENSG00000135002,RFK,protein_coding,700
ENSG00000135018,UBQLN1,protein_coding,532
ENSG00000135070,ISCA1,protein_coding,453
ENSG00000135932,CAB39,protein_coding,282
ENSG00000136143,SUCLA2,protein_coding,433
ENSG00000136404,TM6SF1,protein_coding,732
ENSG00000136521,NDUFB5,protein_coding,428
ENSG00000136531,SCN2A,protein_coding,940
ENSG00000137563,GGH,protein_coding,216
ENSG00000138018,SELENOI,protein_coding,482
ENSG00000138078,PREPL,protein_coding,677
ENSG00000138079,SLC3A1,protein_coding,780
ENSG00000138442,WDR12,protein_coding,467
ENSG00000138660,AP1AR,protein_coding,279
ENSG00000138663,COPS4,protein_coding,316
ENSG00000138686,BBS7,protein_coding,953
ENSG00000138757,G3BP2,protein_coding,501
ENSG00000139116,KIF21A,protein_coding,508
ENSG00000139131,YARS2,protein_coding,1144
ENSG00000139180,NDUFA9,protein_coding,426
ENSG00000139278,GLIPR1,protein_coding,205
ENSG00000139505,MTMR6,protein_coding,510
ENSG00000139977,NAA30,protein_coding,349
ENSG00000141030,COPS3,protein_coding,298
ENSG00000141367,CLTC,protein_coding,269
ENSG00000141378,PTRH2,protein_coding,787
ENSG00000142875,PRKACB,protein_coding,1171
ENSG00000143155,TIPRL,protein_coding,1186
ENSG00000143158,MPC2,protein_coding,771
ENSG00000143727,ACP1,protein_coding,526
ENSG00000143933,CALM2,protein_coding,366
ENSG00000144635,DYNC1LI1,protein_coding,1041
ENSG00000144827,ABHD10,protein_coding,288
ENSG00000144867,SRPRB,protein_coding,402
ENSG00000145216,FIP1L1,protein_coding,494
ENSG00000145632,PLK2,protein_coding,243
ENSG00000146267,FAXC,protein_coding,459
ENSG00000146352,CLVS2,protein_coding,532
ENSG00000147180,ZNF711,protein_coding,405
ENSG00000147416,ATP6V1B2,protein_coding,481
ENSG00000147669,POLR2K,protein_coding,363
ENSG00000148572,NRBF2,protein_coding,323
ENSG00000148688,RPP30,protein_coding,300
ENSG00000148925,BTBD10,protein_coding,1355
ENSG00000149313,AASDHPPT,protein_coding,1106
ENSG00000152332,UHMK1,protein_coding,271
ENSG00000152944,MED21,protein_coding,216
ENSG00000153130,SCOC,protein_coding,411
ENSG00000153933,DGKE,protein_coding,691
ENSG00000154174,TOMM70,protein_coding,953
ENSG00000154582,ELOC,protein_coding,289
ENSG00000155970,MICU3,protein_coding,911
ENSG00000156136,DCK,protein_coding,280
ENSG00000156642,NPTN,protein_coding,804
ENSG00000156735,BAG4,protein_coding,832
ENSG00000156976,EIF4A2,protein_coding,412
ENSG00000157214,STEAP2,protein_coding,619
ENSG00000159082,SYNJ1,protein_coding,446
ENSG00000162378,ZYG11B,protein_coding,618
ENSG00000162636,EEIG2,protein_coding,703
ENSG00000162639,HENMT1,protein_coding,648
ENSG00000163138,PACRGL,protein_coding,904
ENSG00000163376,KBTBD8,protein_coding,274
ENSG00000163412,EIF4E3,protein_coding,484
ENSG00000163536,SERPINI1,protein_coding,722
ENSG00000163577,EIF5A2,protein_coding,239
ENSG00000163655,GMPS,protein_coding,377
ENSG00000163818,LZTFL1,protein_coding,394
ENSG00000163938,GNL3,protein_coding,229
ENSG00000164031,DNAJB14,protein_coding,778
ENSG00000164109,MAD2L1,protein_coding,507
ENSG00000164114,MAP9,protein_coding,219
ENSG00000164187,LMBRD2,protein_coding,681
ENSG00000164209,SLC25A46,protein_coding,454
ENSG00000164951,PDP1,protein_coding,339
ENSG00000164985,PSIP1,protein_coding,650
ENSG00000165169,DYNLT3,protein_coding,489
ENSG00000165434,PGM2L1,protein_coding,407
ENSG00000165678,GHITM,protein_coding,622
ENSG00000165832,TRUB1,protein_coding,1045
ENSG00000166479,TMX3,protein_coding,565
ENSG00000166503,HDGFL3,protein_coding,557
ENSG00000167005,NUDT21,protein_coding,646
ENSG00000169255,B3GALNT1,protein_coding,408
ENSG00000171262,FAM98B,protein_coding,310
ENSG00000171867,PRNP,protein_coding,558
ENSG00000172209,GPR22,protein_coding,767
ENSG00000172795,DCP2,protein_coding,341
ENSG00000173258,ZNF483,protein_coding,430
ENSG00000174173,TRMT10C,protein_coding,279
ENSG00000175395,ZNF25,protein_coding,843
ENSG00000177889,UBE2N,protein_coding,673
ENSG00000178567,EPM2AIP1,protein_coding,697
ENSG00000178662,CSRNP3,protein_coding,1432
ENSG00000180336,MEIOC,protein_coding,266
ENSG00000182220,ATP6AP2,protein_coding,887
ENSG00000182916,TCEAL7,protein_coding,292
ENSG00000186106,ANKRD46,protein_coding,880
ENSG00000186310,NAP1L3,protein_coding,741
ENSG00000188582,PAQR9,protein_coding,290
ENSG00000189195,BTBD8,protein_coding,365
ENSG00000196776,CD47,protein_coding,840
ENSG00000196937,FAM3C,protein_coding,559
ENSG00000196950,SLC39A10,protein_coding,297
ENSG00000197170,PSMD12,protein_coding,221
ENSG00000198015,MRPL42,protein_coding,256
ENSG00000198513,ATL1,protein_coding,739
ENSG00000198612,COPS8,protein_coding,557
ENSG00000198689,SLC9A6,protein_coding,759
ENSG00000198780,FAM169A,protein_coding,396
ENSG00000198791,CNOT7,protein_coding,403
ENSG00000198836,OPA1,protein_coding,783
ENSG00000198919,DZIP3,protein_coding,574
ENSG00000198961,PJA2,protein_coding,859
ENSG00000204186,ZDBF2,protein_coding,477
ENSG00000204899,MZT1,protein_coding,322
ENSG00000205060,SLC35B4,protein_coding,198
ENSG00000205707,ETFRF1,protein_coding,262
ENSG00000213424,KRT222,protein_coding,675
ENSG00000214265,,protein_coding,950
ENSG00000232040,SCAND3,protein_coding,473
ENSG00000232119,MCTS1,protein_coding,411
ENSG00000240891,PLCXD2,protein_coding,287
ENSG00000250349,,protein_coding,924
ENSG00000255639,,protein_coding,311
ENSG00000272772,,protein_coding,761
ENSG00000273173,SNURF,protein_coding,332
ENSG00000273269,,protein_coding,350
ENSG00000273841,TAF9,protein_coding,341
ENSG00000280987,,protein_coding,436
ENSG00000285982,,protein_coding,458
ENSG00000286237,ARMCX5-GPRASP2,protein_coding,416
ENSG00000288558,DUS4L-BCAP29,protein_coding,802
ENSG00000288698,,protein_coding,313
