Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000182013	ENSG00000144021	g	g.Ctrl_TCX	0.51
ENSG00000154277	ENSG00000184900	g	g.Ctrl_TCX	0.52
ENSG00000170540	ENSG00000184900	g	g.Ctrl_TCX	0.52
ENSG00000184900	ENSG00000161203	g	g.Ctrl_TCX	0.53
ENSG00000010256	ENSG00000161203	g	g.Ctrl_TCX	0.53
ENSG00000144021	ENSG00000181852	g	g.Ctrl_TCX	0.52
ENSG00000031698	ENSG00000169021	g	g.Ctrl_TCX	0.51
ENSG00000075415	ENSG00000169021	a	a	0.54
ENSG00000102978	ENSG00000169021	g	g.Ctrl_TCX	0.52
ENSG00000181852	ENSG00000169021	g	g.Ctrl_TCX	0.53
ENSG00000031698	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000171867	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000116983	ENSG00000181610	g	g.Ctrl_TCX	0.5
ENSG00000089737	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000135900	ENSG00000181610	g	g.Ctrl_TCX	0.51
ENSG00000132463	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000075415	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000104738	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000101365	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000196368	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000189241	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000181191	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000182013	ENSG00000181610	g	g.Ctrl_TCX	0.54
ENSG00000185414	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000178397	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000102978	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000151729	ENSG00000181610	g	g.Ctrl_TCX	0.54
ENSG00000165572	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000181852	ENSG00000181610	g	g.Ctrl_TCX	0.53
ENSG00000169021	ENSG00000181610	g	g.Ctrl_TCX	0.52
ENSG00000069424	ENSG00000124507	g	g.Ctrl_TCX	0.54
ENSG00000205937	ENSG00000124507	a	a	0.53
ENSG00000164885	ENSG00000089220	g	g.Ctrl_TCX	0.51
ENSG00000069424	ENSG00000158856	g	g.Ctrl_TCX	0.54
ENSG00000205937	ENSG00000158856	a	a	0.53
ENSG00000121769	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000142686	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000116983	ENSG00000174684	g	g.Ctrl_TCX	0.52
ENSG00000154277	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000113552	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000196368	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000173726	ENSG00000174684	g	g.Ctrl_TCX	0.51
ENSG00000181191	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000129355	ENSG00000174684	g	g.Ctrl_TCX	0.52
ENSG00000182013	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000128245	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000102003	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000115661	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000178397	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000184900	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000010256	ENSG00000174684	g	g.Ctrl_TCX	0.52
ENSG00000161203	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000151729	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000151366	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000124659	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000131828	ENSG00000174684	g	g.Ctrl_TCX	0.52
ENSG00000181852	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000176903	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000198668	ENSG00000174684	g	g.Ctrl_TCX	0.54
ENSG00000174109	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000182636	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000181610	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000239789	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000164885	ENSG00000174684	g	g.Ctrl_TCX	0.53
ENSG00000069424	ENSG00000154146	g	g.Ctrl_TCX	0.53
ENSG00000069424	ENSG00000127585	g	g.Ctrl_TCX	0.53
ENSG00000069424	ENSG00000101337	g	g.Ctrl_TCX	0.53
ENSG00000142686	ENSG00000146701	g	g.Ctrl_TCX	0.52
ENSG00000010256	ENSG00000146701	g	g.Ctrl_TCX	0.51
ENSG00000164091	ENSG00000146701	g	g.Ctrl_TCX	0.51
ENSG00000182636	ENSG00000146701	g	g.Ctrl_TCX	0.51
ENSG00000146701	ENSG00000105568	g	g.Ctrl_TCX	0.53
ENSG00000142686	ENSG00000130764	g	g.Ctrl_TCX	0.53
ENSG00000174684	ENSG00000130764	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000130764	g	g.Ctrl_TCX	0.53
ENSG00000105568	ENSG00000130764	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000020129	g	g.Ctrl_TCX	0.52
ENSG00000105568	ENSG00000020129	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000020129	g	g.Ctrl_TCX	0.54
ENSG00000130764	ENSG00000013016	g	g.Ctrl_TCX	0.52
ENSG00000182636	ENSG00000102226	g	g.Ctrl_TCX	0.5
ENSG00000174684	ENSG00000102226	g	g.Ctrl_TCX	0.52
ENSG00000146701	ENSG00000102226	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000102226	g	g.Ctrl_TCX	0.53
ENSG00000020129	ENSG00000102226	g	g.Ctrl_TCX	0.51
ENSG00000146701	ENSG00000102096	g	g.Ctrl_TCX	0.52
ENSG00000130764	ENSG00000102096	g	g.Ctrl_TCX	0.53
ENSG00000174684	ENSG00000102409	g	g.Ctrl_TCX	0.52
ENSG00000146701	ENSG00000102409	g	g.Ctrl_TCX	0.52
ENSG00000105568	ENSG00000102409	g	g.Ctrl_TCX	0.51
ENSG00000130764	ENSG00000102409	g	g.Ctrl_TCX	0.52
ENSG00000142686	ENSG00000071553	g	g.Ctrl_TCX	0.53
ENSG00000154277	ENSG00000071553	g	g.Ctrl_TCX	0.54
ENSG00000182636	ENSG00000071553	g	g.Ctrl_TCX	0.52
ENSG00000174684	ENSG00000071553	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000071553	g	g.Ctrl_TCX	0.52
ENSG00000130764	ENSG00000071553	g	g.Ctrl_TCX	0.53
ENSG00000020129	ENSG00000071553	g	g.Ctrl_TCX	0.52
ENSG00000013016	ENSG00000071553	g	g.Ctrl_TCX	0.52
ENSG00000102226	ENSG00000071553	g	g.Ctrl_TCX	0.53
ENSG00000102096	ENSG00000071553	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000122733	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000122733	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000106976	g	g.Ctrl_TCX	0.52
ENSG00000130764	ENSG00000106976	g	g.Ctrl_TCX	0.53
ENSG00000071553	ENSG00000106976	g	g.Ctrl_TCX	0.52
ENSG00000146701	ENSG00000110107	g	g.Ctrl_TCX	0.52
ENSG00000105568	ENSG00000110107	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000110107	g	g.Ctrl_TCX	0.54
ENSG00000020129	ENSG00000110107	g	g.Ctrl_TCX	0.52
ENSG00000071553	ENSG00000110107	g	g.Ctrl_TCX	0.52
ENSG00000122733	ENSG00000110107	g	g.Ctrl_TCX	0.52
ENSG00000106976	ENSG00000110107	g	g.Ctrl_TCX	0.52
ENSG00000115661	ENSG00000111652	g	g.Ctrl_TCX	0.52
ENSG00000010256	ENSG00000111652	g	g.Ctrl_TCX	0.52
ENSG00000182636	ENSG00000111652	g	g.Ctrl_TCX	0.52
ENSG00000174684	ENSG00000111652	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000111652	g	g.Ctrl_TCX	0.52
ENSG00000130764	ENSG00000111652	g	g.Ctrl_TCX	0.53
ENSG00000071553	ENSG00000111652	g	g.Ctrl_TCX	0.52
ENSG00000182636	ENSG00000092096	g	g.Ctrl_TCX	0.51
ENSG00000174684	ENSG00000092096	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000092096	g	g.Ctrl_TCX	0.52
ENSG00000071553	ENSG00000092096	g	g.Ctrl_TCX	0.52
ENSG00000111652	ENSG00000092096	g	g.Ctrl_TCX	0.51
ENSG00000130764	ENSG00000104067	g	g.Ctrl_TCX	-0.52
ENSG00000105568	ENSG00000127561	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000127561	g	g.Ctrl_TCX	0.52
ENSG00000174684	ENSG00000004779	g	g.Ctrl_TCX	0.52
ENSG00000146701	ENSG00000004779	g	g.Ctrl_TCX	0.52
ENSG00000105568	ENSG00000004779	g	g.Ctrl_TCX	0.51
ENSG00000130764	ENSG00000004779	g	g.Ctrl_TCX	0.52
ENSG00000146701	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000105568	ENSG00000103034	g	g.Ctrl_TCX	0.54
ENSG00000130764	ENSG00000103034	g	g.Ctrl_TCX	0.54
ENSG00000020129	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000102226	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000071553	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000122733	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000106976	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000110107	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000127561	ENSG00000103034	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000125166	g	g.Ctrl_TCX	0.53
ENSG00000105568	ENSG00000125166	g	g.Ctrl_TCX	0.51
ENSG00000130764	ENSG00000125166	g	g.Ctrl_TCX	0.53
ENSG00000071553	ENSG00000125166	g	g.Ctrl_TCX	0.52
ENSG00000103034	ENSG00000125166	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000108797	g	g.Ctrl_TCX	0.52
ENSG00000105568	ENSG00000108797	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000108797	g	g.Ctrl_TCX	0.52
ENSG00000103034	ENSG00000108797	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000008283	g	g.Ctrl_TCX	0.51
ENSG00000130764	ENSG00000008283	g	g.Ctrl_TCX	0.53
ENSG00000071553	ENSG00000008283	g	g.Ctrl_TCX	0.52
ENSG00000130764	ENSG00000124140	g	g.Ctrl_TCX	0.52
ENSG00000010256	ENSG00000124217	g	g.Ctrl_TCX	0.51
ENSG00000182636	ENSG00000124217	g	g.Ctrl_TCX	0.52
ENSG00000174684	ENSG00000124217	g	g.Ctrl_TCX	0.53
ENSG00000065427	ENSG00000124217	g	g.Ctrl_TCX	0.51
ENSG00000130764	ENSG00000124217	g	g.Ctrl_TCX	0.51
ENSG00000182636	ENSG00000101152	g	g.Ctrl_TCX	0.52
ENSG00000174684	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000101152	g	g.Ctrl_TCX	0.54
ENSG00000020129	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000013016	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000102226	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000102096	ENSG00000101152	g	g.Ctrl_TCX	0.54
ENSG00000071553	ENSG00000101152	g	g.Ctrl_TCX	0.54
ENSG00000122733	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000110107	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000111652	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000092096	ENSG00000101152	g	g.Ctrl_TCX	0.52
ENSG00000104067	ENSG00000101152	g	g.Ctrl_TCX	-0.54
ENSG00000004779	ENSG00000101152	g	g.Ctrl_TCX	0.52
ENSG00000103034	ENSG00000101152	g	g.Ctrl_TCX	0.54
ENSG00000125166	ENSG00000101152	g	g.Ctrl_TCX	0.52
ENSG00000008283	ENSG00000101152	g	g.Ctrl_TCX	0.54
ENSG00000124140	ENSG00000101152	g	g.Ctrl_TCX	0.53
ENSG00000146701	ENSG00000105409	g	g.Ctrl_TCX	0.53
ENSG00000105568	ENSG00000105409	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000105409	g	g.Ctrl_TCX	0.53
ENSG00000103034	ENSG00000105409	g	g.Ctrl_TCX	0.53
ENSG00000105568	ENSG00000130540	g	g.Ctrl_TCX	0.53
ENSG00000130764	ENSG00000130540	g	g.Ctrl_TCX	0.53
ENSG00000103034	ENSG00000130540	g	g.Ctrl_TCX	0.53
ENSG00000101152	ENSG00000130540	g	g.Ctrl_TCX	0.53
