entrezgene_id	hgnc_symbol	gene_biotype	ensembl_gene_id	gene_name_kegg
102	ADAM10	protein_coding	ENSG00000137845	ADAM10; ADAM metallopeptidase domain 10 [KO:K06704] [EC:3.4.24.81]
177	AGER	protein_coding	ENSG00000230514	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
177	AGER	protein_coding	ENSG00000231268	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
177	AGER	protein_coding	ENSG00000229058	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
177	AGER	protein_coding	ENSG00000237405	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
177	AGER	protein_coding	ENSG00000206320	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
177	AGER	protein_coding	ENSG00000234729	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
177	AGER	protein_coding	ENSG00000204305	AGER; advanced glycosylation end-product specific receptor [KO:K19722]
207	AKT1	protein_coding	ENSG00000142208	AKT1; AKT serine/threonine kinase 1 [KO:K04456] [EC:2.7.11.1]
208	AKT2	protein_coding	ENSG00000105221	AKT2; AKT serine/threonine kinase 2 [KO:K04456] [EC:2.7.11.1]
291	SLC25A4	protein_coding	ENSG00000151729	SLC25A4; solute carrier family 25 member 4 [KO:K05863]
292	SLC25A5	protein_coding	ENSG00000005022	SLC25A5; solute carrier family 25 member 5 [KO:K05863]
293	SLC25A6	protein_coding	ENSG00000169100	SLC25A6; solute carrier family 25 member 6 [KO:K05863]
317	APAF1	protein_coding	ENSG00000120868	APAF1; apoptotic peptidase activating factor 1 [KO:K02084]
322	APBB1	protein_coding	ENSG00000166313	APBB1; amyloid beta precursor protein binding family B member 1 [KO:K04529]
324	APC	protein_coding	ENSG00000134982	APC; APC regulator of WNT signaling pathway [KO:K02085]
348	APOE	protein_coding	ENSG00000130203	APOE; apolipoprotein E [KO:K04524]
351	APP	protein_coding	ENSG00000142192	APP; amyloid beta precursor protein [KO:K04520]
355	FAS	protein_coding	ENSG00000026103	FAS; Fas cell surface death receptor [KO:K04390]
369	ARAF	protein_coding	ENSG00000078061	ARAF; A-Raf proto-oncogene, serine/threonine kinase [KO:K08845] [EC:2.7.11.1]
468	ATF4	protein_coding	ENSG00000128272	ATF4; activating transcription factor 4 [KO:K04374]
487	ATP2A1	protein_coding	ENSG00000196296	ATP2A1; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [KO:K05853] [EC:7.2.2.10]
488	ATP2A2	protein_coding	ENSG00000174437	ATP2A2; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [KO:K05853] [EC:7.2.2.10]
489	ATP2A3	protein_coding	ENSG00000074370	ATP2A3; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [KO:K05853] [EC:7.2.2.10]
498	ATP5F1A	protein_coding	ENSG00000152234	ATP5F1A; ATP synthase F1 subunit alpha [KO:K02132]
506	ATP5F1B	protein_coding	ENSG00000110955	ATP5F1B; ATP synthase F1 subunit beta [KO:K02133] [EC:7.1.2.2]
509	ATP5F1C	protein_coding	ENSG00000165629	ATP5F1C; ATP synthase F1 subunit gamma [KO:K02136]
513	ATP5F1D	protein_coding	ENSG00000099624	ATP5F1D; ATP synthase F1 subunit delta [KO:K02134]
514	ATP5F1E	protein_coding	ENSG00000124172	ATP5F1E; ATP synthase F1 subunit epsilon [KO:K02135]
515	ATP5PB	protein_coding	ENSG00000116459	ATP5PB; ATP synthase peripheral stalk-membrane subunit b [KO:K02127]
516	ATP5MC1	protein_coding	ENSG00000159199	ATP5MC1; ATP synthase membrane subunit c locus 1 [KO:K02128]
517	ATP5MC2	protein_coding	ENSG00000135390	ATP5MC2; ATP synthase membrane subunit c locus 2 [KO:K02128]
518	ATP5MC3	protein_coding	ENSG00000154518	ATP5MC3; ATP synthase membrane subunit c locus 3 [KO:K02128]
522	ATP5PF	protein_coding	ENSG00000154723	ATP5PF; ATP synthase peripheral stalk subunit F6 [KO:K02131]
539	ATP5PO	protein_coding	ENSG00000241837	ATP5PO; ATP synthase peripheral stalk subunit OSCP [KO:K02137]
572	BAD	protein_coding	ENSG00000002330	BAD; BCL2 associated agonist of cell death [KO:K02158]
637	BID	protein_coding	ENSG00000015475	BID; BH3 interacting domain death agonist [KO:K04726]
673	BRAF	protein_coding	ENSG00000157764	BRAF; B-Raf proto-oncogene, serine/threonine kinase [KO:K04365] [EC:2.7.11.1]
775	CACNA1C	protein_coding	ENSG00000285479	CACNA1C; calcium voltage-gated channel subunit alpha1 C [KO:K04850]
775	CACNA1C	protein_coding	ENSG00000151067	CACNA1C; calcium voltage-gated channel subunit alpha1 C [KO:K04850]
776	CACNA1D	protein_coding	ENSG00000157388	CACNA1D; calcium voltage-gated channel subunit alpha1 D [KO:K04851]
778	CACNA1F	protein_coding	ENSG00000102001	CACNA1F; calcium voltage-gated channel subunit alpha1 F [KO:K04853]
779	CACNA1S	protein_coding	ENSG00000081248	CACNA1S; calcium voltage-gated channel subunit alpha1 S [KO:K04857]
801	CALM1	protein_coding	ENSG00000198668	CALM1; calmodulin 1 [KO:K02183]
805	CALM2	protein_coding	ENSG00000143933	CALM2; calmodulin 2 [KO:K02183]
808	CALM3	protein_coding	ENSG00000160014	CALM3; calmodulin 3 [KO:K02183]
810	CALML3	protein_coding	ENSG00000178363	CALML3; calmodulin like 3 [KO:K02183]
823	CAPN1	protein_coding	ENSG00000014216	CAPN1; calpain 1 [KO:K01367] [EC:3.4.22.52]
824	CAPN2	protein_coding	ENSG00000162909	CAPN2; calpain 2 [KO:K03853] [EC:3.4.22.53]
836	CASP3	protein_coding	ENSG00000164305	CASP3; caspase 3 [KO:K02187] [EC:3.4.22.56]
840	CASP7	protein_coding	ENSG00000165806	CASP7; caspase 7 [KO:K04397] [EC:3.4.22.60]
841	CASP8	protein_coding	ENSG00000064012	CASP8; caspase 8 [KO:K04398] [EC:3.4.22.61]
842	CASP9	protein_coding	ENSG00000132906	CASP9; caspase 9 [KO:K04399] [EC:3.4.22.62]
1020	CDK5	protein_coding	ENSG00000164885	CDK5; cyclin dependent kinase 5 [KO:K02090] [EC:2.7.11.22]
1128	CHRM1	protein_coding	ENSG00000168539	CHRM1; cholinergic receptor muscarinic 1 [KO:K04129]
1131	CHRM3	protein_coding	ENSG00000133019	CHRM3; cholinergic receptor muscarinic 3 [KO:K04131]
1133	CHRM5	protein_coding	ENSG00000184984	CHRM5; cholinergic receptor muscarinic 5 [KO:K04133]
1139		protein_coding	ENSG00000274542	CHRNA7; cholinergic receptor nicotinic alpha 7 subunit [KO:K04809]
1139		protein_coding	ENSG00000282088	CHRNA7; cholinergic receptor nicotinic alpha 7 subunit [KO:K04809]
1139	CHRNA7	protein_coding	ENSG00000175344	CHRNA7; cholinergic receptor nicotinic alpha 7 subunit [KO:K04809]
1147	CHUK	protein_coding	ENSG00000213341	CHUK; component of inhibitor of nuclear factor kappa B kinase complex [KO:K04467] [EC:2.7.11.10]
1327	COX4I1	protein_coding	ENSG00000131143	COX4I1; cytochrome c oxidase subunit 4I1 [KO:K02263]
1329	COX5B	protein_coding	ENSG00000135940	COX5B; cytochrome c oxidase subunit 5B [KO:K02265]
1337	COX6A1	protein_coding	ENSG00000111775	COX6A1; cytochrome c oxidase subunit 6A1 [KO:K02266]
1339	COX6A2	protein_coding	ENSG00000156885	COX6A2; cytochrome c oxidase subunit 6A2 [KO:K02266]
1340	COX6B1	protein_coding	ENSG00000126267	COX6B1; cytochrome c oxidase subunit 6B1 [KO:K02267]
1345	COX6C	protein_coding	ENSG00000164919	COX6C; cytochrome c oxidase subunit 6C [KO:K02268]
1346	COX7A1	protein_coding	ENSG00000161281	COX7A1; cytochrome c oxidase subunit 7A1 [KO:K02270]
1347	COX7A2	protein_coding	ENSG00000112695	COX7A2; cytochrome c oxidase subunit 7A2 [KO:K02270]
1349	COX7B	protein_coding	ENSG00000131174	COX7B; cytochrome c oxidase subunit 7B [KO:K02271]
1350	COX7C	protein_coding	ENSG00000127184	COX7C; cytochrome c oxidase subunit 7C [KO:K02272]
1351	COX8A	protein_coding	ENSG00000176340	COX8A; cytochrome c oxidase subunit 8A [KO:K02273]
1435	CSF1	protein_coding	ENSG00000184371	CSF1; colony stimulating factor 1 [KO:K05453]
1452	CSNK1A1	protein_coding	ENSG00000113712	CSNK1A1; casein kinase 1 alpha 1 [KO:K08957] [EC:2.7.11.1]
1454	CSNK1E	protein_coding	ENSG00000213923	CSNK1E; casein kinase 1 epsilon [KO:K08960] [EC:2.7.11.1]
1457	CSNK2A1	protein_coding	ENSG00000101266	CSNK2A1; casein kinase 2 alpha 1 [KO:K03097] [EC:2.7.11.1]
1459	CSNK2A2	protein_coding	ENSG00000070770	CSNK2A2; casein kinase 2 alpha 2 [KO:K03097] [EC:2.7.11.1]
1460	CSNK2B	protein_coding	ENSG00000230700	CSNK2B; casein kinase 2 beta [KO:K03115]
1460	CSNK2B	protein_coding	ENSG00000232960	CSNK2B; casein kinase 2 beta [KO:K03115]
1460	CSNK2B	protein_coding	ENSG00000206406	CSNK2B; casein kinase 2 beta [KO:K03115]
1460	CSNK2B	protein_coding	ENSG00000224774	CSNK2B; casein kinase 2 beta [KO:K03115]
1460	CSNK2B	protein_coding	ENSG00000224398	CSNK2B; casein kinase 2 beta [KO:K03115]
1460	CSNK2B	protein_coding	ENSG00000228875	CSNK2B; casein kinase 2 beta [KO:K03115]
1460	CSNK2B	protein_coding	ENSG00000204435	CSNK2B; casein kinase 2 beta [KO:K03115]
1499	CTNNB1	protein_coding	ENSG00000168036	CTNNB1; catenin beta 1 [KO:K02105]
1536	CYBB	protein_coding	ENSG00000165168	CYBB; cytochrome b-245 beta chain [KO:K21421] [EC:1.-.-.-]
1537	CYC1	protein_coding	ENSG00000179091	CYC1; cytochrome c1 [KO:K00413]
1649	DDIT3	protein_coding	ENSG00000175197	DDIT3; DNA damage inducible transcript 3 [KO:K04452]
1855	DVL1	protein_coding	ENSG00000107404	DVL1; dishevelled segment polarity protein 1 [KO:K02353]
1856	DVL2	protein_coding	ENSG00000004975	DVL2; dishevelled segment polarity protein 2 [KO:K02353]
1857	DVL3	protein_coding	ENSG00000161202	DVL3; dishevelled segment polarity protein 3 [KO:K02353]
1965	EIF2S1	protein_coding	ENSG00000134001	EIF2S1; eukaryotic translation initiation factor 2 subunit alpha [KO:K03237]
2081	ERN1	protein_coding	ENSG00000178607	ERN1; endoplasmic reticulum to nucleus signaling 1 [KO:K08852] [EC:2.7.11.1 3.1.26.-]
2475	MTOR	protein_coding	ENSG00000198793	MTOR; mechanistic target of rapamycin kinase [KO:K07203] [EC:2.7.11.1]
2535	FZD2	protein_coding	ENSG00000180340	FZD2; frizzled class receptor 2 [KO:K02235]
2597	GAPDH	protein_coding	ENSG00000111640	GAPDH; glyceraldehyde-3-phosphate dehydrogenase [KO:K00134] [EC:1.2.1.12]
2776	GNAQ	protein_coding	ENSG00000156052	GNAQ; G protein subunit alpha q [KO:K04634]
2902	GRIN1	protein_coding	ENSG00000176884	GRIN1; glutamate ionotropic receptor NMDA type subunit 1 [KO:K05208]
2903	GRIN2A	protein_coding	ENSG00000183454	GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A [KO:K05209]
2904	GRIN2B	protein_coding	ENSG00000273079	GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B [KO:K05210]
2905	GRIN2C	protein_coding	ENSG00000161509	GRIN2C; glutamate ionotropic receptor NMDA type subunit 2C [KO:K05211]
2906	GRIN2D	protein_coding	ENSG00000105464	GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D [KO:K05212]
2915	GRM5	protein_coding	ENSG00000168959	GRM5; glutamate metabotropic receptor 5 [KO:K04604]
2932	GSK3B	protein_coding	ENSG00000082701	GSK3B; glycogen synthase kinase 3 beta [KO:K03083] [EC:2.7.11.26]
3028	HSD17B10	protein_coding	ENSG00000072506	HSD17B10; hydroxysteroid 17-beta dehydrogenase 10 [KO:K08683] [EC:1.1.1.35 1.1.1.178]
3265	HRAS	protein_coding	ENSG00000276536	HRAS; HRas proto-oncogene, GTPase [KO:K02833]
3265	HRAS	protein_coding	ENSG00000174775	HRAS; HRas proto-oncogene, GTPase [KO:K02833]
