"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"CDC27","protein_coding","ENSG00000004897","The protein encoded by this gene shares strong similarity with Saccharomyces cerevisiae protein Cdc27, and the gene product of Schizosaccharomyces pombe nuc 2. This protein is a component of the anaphase-promoting complex (APC), which is composed of eight protein subunits and is highly conserved in eukaryotic cells. This complex catalyzes the formation of cyclin B-ubiquitin conjugate, which is responsible for the ubiquitin-mediated proteolysis of B-type cyclins. The protein encoded by this gene and three other members of the APC complex contain tetratricopeptide (TPR) repeats, which are important for protein-protein interactions. This protein was shown to interact with mitotic checkpoint proteins including Mad2, p55CDC and BUBR1, and it may thus be involved in controlling the timing of mitosis. Alternative splicing of this gene results in multiple transcript variants. Related pseudogenes have been identified on chromosomes 2, 22 and Y. [provided by RefSeq, May 2014]"
"CIAPIN1","protein_coding","ENSG00000005194","CIAPIN1 is a cytokine-induced inhibitor of apoptosis with no relation to apoptosis regulatory molecules of the BCL2 (MIM 151430) or CASP (see MIM 147678) families. Expression of CIAPIN1 is dependent on growth factor stimulation (Shibayama et al., 2004 [PubMed 14970183]).[supplied by OMIM, Mar 2008]"
"IBTK","protein_coding","ENSG00000005700","Bruton tyrosine kinase (BTK) is a protein tyrosine kinase that is expressed in B cells, macrophages, and neutrophils. The protein encoded by this gene binds to BTK and downregulates BTK's kinase activity. In addition, the encoded protein disrupts BTK-mediated calcium mobilization and negatively regulates the activation of nuclear factor-kappa-B-driven transcription. This gene has a pseudogene on chromosome 18. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2014]"
"MYCBP2","protein_coding","ENSG00000005810","This gene encodes an E3 ubiquitin-protein ligase and member of the PHR (Phr1/MYCBP2, highwire and RPM-1) family of proteins. The encoded protein plays a role in axon guidance and synapse formation in the developing nervous system. In mammalian cells, this protein regulates the cAMP and mTOR signaling pathways, and may additionally regulate autophagy. Reduced expression of this gene has been observed in acute lymphoblastic leukemia patients and a mutation in this gene has been identified in patients with a rare inherited vision defect. [provided by RefSeq, Mar 2017]"
"AP2B1","protein_coding","ENSG00000006125","The protein encoded by this gene is one of two large chain components of the assembly protein complex 2, which serves to link clathrin to receptors in coated vesicles. The encoded protein is found on the cytoplasmic face of coated vesicles in the plasma membrane. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
"CX3CL1","protein_coding","ENSG00000006210","This gene belongs to the CX3C subgroup of chemokines, characterized by the number of amino acids located between the conserved cysteine residues. This is the only member of the CX3C subgroup, which contains three amino acids between cysteine residues, resulting in a Cys-X-X-X-Cys configuration. The encoded protein contains an extended mucin-like stalk with a chemokine domain on top, and exists in both a membrane-anchored form where it acts as a binding molecule, or, in soluble form, as a chemotactic cytokine. The mature form of this protein can be cleaved at the cell surface, yielding different soluble forms that can interact with the G-protein coupled receptor, C-X3-C motif chemokine receptor 1 gene product. This gene plays a role in a wide range of diseases, including cancer, vasculitis, neuropathies, atherosclerosis, inflammatory diseases, and in human immunodeficiency virus infections. [provided by RefSeq, Sep 2017]"
"VPS41","protein_coding","ENSG00000006715","Vesicle mediated protein sorting plays an important role in segregation of intracellular molecules into distinct organelles. Genetic studies in yeast have identified more than 40 vacuolar protein sorting (VPS) genes involved in vesicle transport to vacuoles. This gene encodes the human ortholog of yeast Vps41 protein which is also conserved in Drosophila, tomato, and Arabidopsis. Expression studies in yeast and human indicate that this protein may be involved in the formation and fusion of transport vesicles from the Golgi. Several transcript variants encoding different isoforms have been described for this gene, however, the full-length nature of not all is known. [provided by RefSeq, Jul 2008]"
"MARK4","protein_coding","ENSG00000007047","This gene encodes a member of the microtubule affinity-regulating kinase family. These protein kinases phosphorylate microtubule-associated proteins and regulate the transition between stable and dynamic microtubules. The encoded protein is associated with the centrosome throughout mitosis and may be involved in cell cycle control. Expression of this gene is a potential marker for cancer, and the encoded protein may also play a role in Alzheimer's disease. Pseudogenes of this gene are located on both the short and long arm of chromosome 3. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]"
"PAFAH1B1","protein_coding","ENSG00000007168","This locus was identified as encoding a gene that when mutated or lost caused the lissencephaly associated with Miller-Dieker lissencephaly syndrome. This gene encodes the non-catalytic alpha subunit of the intracellular Ib isoform of platelet-activating factor acteylhydrolase, a heterotrimeric enzyme that specifically catalyzes the removal of the acetyl group at the SN-2 position of platelet-activating factor (identified as 1-O-alkyl-2-acetyl-sn-glyceryl-3-phosphorylcholine). Two other isoforms of intracellular platelet-activating factor acetylhydrolase exist: one composed of multiple subunits, the other, a single subunit. In addition, a single-subunit isoform of this enzyme is found in serum. [provided by RefSeq, Apr 2009]"
"GAS7","protein_coding","ENSG00000007237","Growth arrest-specific 7 is expressed primarily in terminally differentiated brain cells and predominantly in mature cerebellar Purkinje neurons. GAS7 plays a putative role in neuronal development. Several transcript variants encoding proteins which vary in the N-terminus have been described. [provided by RefSeq, Jul 2008]"
