"ensembl_gene_id","hgnc_symbol","gene_biotype","GO_category","kegg","Cluster","Core","DEG","description"
"ENSG00000009954","BAZ1B","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]"
"ENSG00000011007","ELOA","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]"
"ENSG00000048740","CELF2","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]"
"ENSG00000052126","PLEKHA5","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]"
"ENSG00000063177","RPL18","protein_coding","gene expression","No_kegg","control_cluster4","non core","non DEG","ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]"
"ENSG00000064490","RFXANK","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","regulatory factor X associated ankyrin containing protein [Source:HGNC Symbol;Acc:HGNC:9987]"
"ENSG00000071889","FAM3A","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","FAM3 metabolism regulating signaling molecule A [Source:HGNC Symbol;Acc:HGNC:13749]"
"ENSG00000088756","ARHGAP28","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509]"
"ENSG00000099203","TMED1","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","transmembrane p24 trafficking protein 1 [Source:HGNC Symbol;Acc:HGNC:17291]"
"ENSG00000100226","GTPBP1","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]"
"ENSG00000101158","NELFCD","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","negative elongation factor complex member C/D [Source:HGNC Symbol;Acc:HGNC:15934]"
"ENSG00000104825","NFKBIB","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]"
"ENSG00000105767","CADM4","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]"
"ENSG00000106330","MOSPD3","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","motile sperm domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25078]"
"ENSG00000106603","COA1","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","cytochrome c oxidase assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:21868]"
"ENSG00000106628","POLD2","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]"
"ENSG00000108387","SEPTIN4","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]"
"ENSG00000109099","PMP22","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]"
"ENSG00000112242","E2F3","protein_coding","No enriched GO","No_kegg","control_cluster4","non core","non DEG","E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]"
